call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag
en_AU_Telecom_1590917,1,agent,channel1,1,0.0,18.14,"Good afternoon and welcome to Telstra, customer support and billing, this is Tom, how can",positive,0.8753,False,False,False,False,False
en_AU_Telecom_1590917,2,customer,channel2,1,0.0,27.4,"Hey Tom, my name's Laura. I'm just looking to basically upgrade my plan or update it.",neutral,0.7415,False,False,False,False,False
en_AU_Telecom_1590917,3,agent,channel1,2,18.14,18.64,I help you?,neutral,0.8488,False,False,True,False,False
en_AU_Telecom_1590917,4,customer,channel2,2,27.4,32.56,"It's kind of like, I've had it for the year cycle now, and yeah, just looking if there's",neutral,0.8706,False,False,False,False,False
en_AU_Telecom_1590917,5,agent,channel1,3,30.0,39.92,"No worries. Well, first of all, thanks so much for staying with us for the year that",positive,0.9718,False,False,False,False,False
en_AU_Telecom_1590917,6,customer,channel2,3,32.56,35.96,any better plans available now that have come to the end of it.,neutral,0.7813,False,False,False,False,False
en_AU_Telecom_1590917,7,customer,channel2,4,35.96,54.96,Okay.,neutral,0.5693,False,False,False,False,False
en_AU_Telecom_1590917,8,agent,channel1,4,39.92,43.6,"obviously means you've enjoyed it, which I hope. So I can bring up your account and",positive,0.8846,False,False,False,False,False
en_AU_Telecom_1590917,9,agent,channel1,5,43.6,51.32,see your account details. Could you please confirm the third letter of the email address,neutral,0.8936,False,False,False,False,False
en_AU_Telecom_1590917,10,agent,channel1,6,51.32,59.72,"of your partner? T, perfect. Because you went through the verification with the",positive,0.802,False,False,True,False,False
en_AU_Telecom_1590917,11,customer,channel2,5,54.96,68.48,two,neutral,0.6091,False,False,False,False,False
en_AU_Telecom_1590917,12,agent,channel1,7,59.72,62.76,"automated system, I've already got your details here and I'm just going to need the",neutral,0.6308,False,False,False,False,False
en_AU_Telecom_1590917,13,agent,channel1,8,62.76,66.68,last digit of your postcode before you moved houses.,neutral,0.9195,False,False,False,False,False
en_AU_Telecom_1590917,14,customer,channel2,6,68.48,95.84,"Oh, just usually the service is pretty good and I live in the country so I kind of need,",positive,0.8277,False,False,False,False,False
en_AU_Telecom_1590917,15,agent,channel1,9,69.96,75.36,"T, perfect. Great. Thanks so much for confirming those details, Laura. I can",positive,0.9844,False,False,False,False,False
en_AU_Telecom_1590917,16,agent,channel1,10,75.36,79.92,"see, wow, you have been with us for quite a long time. That's close to 15",positive,0.8863,False,False,False,False,False
en_AU_Telecom_1590917,17,agent,channel1,11,79.92,85.56,"years. Before we get started, could you just let me know what you've enjoyed",positive,0.6252,False,False,False,False,False
