call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag
en_AU_Entertainment_1592670,1,agent,channel1,1,0.0,26.4,Good afternoon. Thank you for calling Sydney Theatre Company. This is Danielle speaking.,positive,0.9141,False,False,False,False,False
en_AU_Entertainment_1592670,2,customer,channel2,1,0.0,28.0,Thank you.,positive,0.8345,False,False,False,False,False
en_AU_Entertainment_1592670,3,agent,channel1,2,26.4,28.4,How can I help you today?,neutral,0.7191,False,False,True,False,False
en_AU_Entertainment_1592670,4,customer,channel2,2,28.0,31.0,"Hi, Danielle. My name is Maria.",neutral,0.7464,False,False,False,False,False
en_AU_Entertainment_1592670,5,agent,channel1,3,28.4,51.4,"Oh, that's so sad. Okay. Yeah, I mean, our show's a fantastic. Sorry, I'm going to have to miss it.",negative,0.7795,False,False,False,False,False
en_AU_Entertainment_1592670,6,customer,channel2,3,31.0,35.0,"Look, I'm calling because I've got a bit of a situation.",neutral,0.6762,False,False,False,False,False
en_AU_Entertainment_1592670,7,customer,channel2,4,35.0,38.0,I bought two tickets online for a show.,neutral,0.8036,False,False,False,False,False
en_AU_Entertainment_1592670,8,customer,channel2,5,38.0,42.0,"But unfortunately, I can't make it anymore,",negative,0.8843,False,False,False,False,False
en_AU_Entertainment_1592670,9,customer,channel2,6,42.0,46.0,"and I'm hoping you can, you know, might be able to help me out.",positive,0.7362,False,False,False,False,False
en_AU_Entertainment_1592670,10,agent,channel1,4,51.4,56.4,"Look, of course, I can help you. I'm sorry to hear you can't make the performance.",neutral,0.4972,False,False,False,True,False
en_AU_Entertainment_1592670,11,agent,channel1,5,56.4,75.4,Can I just start by getting a few details from you? Starting with which show did you book?,neutral,0.9364,False,False,True,False,False
en_AU_Entertainment_1592670,12,customer,channel2,7,59.0,65.0,"Yeah, of course.",neutral,0.4614,False,False,False,False,False
en_AU_Entertainment_1592670,13,customer,channel2,8,65.0,71.0,It was for the picture of Dorian Gray at the Roslyn Packer Theatre in Walsh Bay.,neutral,0.9344,False,False,False,False,False
en_AU_Entertainment_1592670,14,customer,channel2,9,71.0,85.0,"I was really looking forward to it, actually.",positive,0.9784,False,False,False,False,False
en_AU_Entertainment_1592670,15,agent,channel1,6,75.4,81.4,"That's such a fantastic production too. Oh my God, I've heard so many wonderful things about it.",positive,0.987,False,False,False,False,False
en_AU_Entertainment_1592670,16,agent,channel1,7,81.4,92.4,When was your performance scheduled for? Which date?,neutral,0.9512,False,False,True,False,False
en_AU_Entertainment_1592670,17,customer,channel2,10,85.0,88.0,"It's this Saturday night, 14th of December at 7.30.",neutral,0.9566,False,False,False,False,False
en_AU_Entertainment_1592670,18,customer,channel2,11,88.0,90.0,I wish I could make it.,positive,0.4955,False,False,False,False,False
en_AU_Entertainment_1592670,19,customer,channel2,12,90.0,103.0,I bought the tickets about three weeks ago.,neutral,0.8788,False,False,False,False,False
en_AU_Entertainment_1592670,20,agent,channel1,8,92.4,98.4,"Yeah, look, it's going to be such a shame. Okay, right. Can I just grab your booking reference number?",negative,0.9025,False,False,True,False,False
en_AU_Entertainment_1592670,21,agent,channel1,9,98.4,102.4,It should be on the confirmation email just in that top right hand corner if you can see it.,neutral,0.8716,False,False,False,False,False
en_AU_Entertainment_1592670,22,customer,channel2,13,103.0,105.0,"Um, do you mean on the...",neutral,0.8896,False,False,False,False,False
en_AU_Entertainment_1592670,23,customer,channel2,14,105.0,109.0,"Oh, hang on, on the confirmation, I'm not sure.",neutral,0.7053,False,False,False,False,False
en_AU_Entertainment_1592670,24,customer,channel2,15,109.0,111.0,Let me just pull that up.,neutral,0.7484,False,False,False,False,False
en_AU_Entertainment_1592670,25,customer,channel2,16,111.0,113.0,"Okay, hang on a second.",neutral,0.7162,False,False,False,False,False
en_AU_Entertainment_1592670,26,customer,channel2,17,113.0,118.0,I have to go through...,neutral,0.6372,False,False,False,False,False
en_AU_Entertainment_1592670,27,customer,channel2,18,118.0,132.0,"Here we go. Okay, it's STC-2024-9876.",neutral,0.8676,False,False,False,False,False
en_AU_Entertainment_1592670,28,agent,channel1,10,128.4,150.4,"Okay, thank you. Perfect. So just going to confirm that number. It's Sierra Tango Charlie 20249876.",positive,0.7272,False,False,False,False,False
en_AU_Entertainment_1592670,29,customer,channel2,19,143.0,164.0,"Um, yeah, that's right.",neutral,0.6523,False,False,False,False,False
en_AU_Entertainment_1592670,30,agent,channel1,11,150.4,156.4,"Okay, perfect. Thank you. Just give me one moment please while I bring up your booking.",positive,0.7435,False,False,False,False,False
en_AU_Entertainment_1592670,31,agent,channel1,12,156.4,163.4,"All right, Maria, I can see it here. We've got two tickets for Saturday evening, the 14th, premium reserve seating tickets too.",positive,0.5762,False,False,False,False,False
en_AU_Entertainment_1592670,32,agent,channel1,13,163.4,174.4,Is that correct?,neutral,0.8883,False,False,True,False,False
en_AU_Entertainment_1592670,33,customer,channel2,20,164.0,168.0,"Oh, don't remind me. That's right.",negative,0.474,False,False,False,False,False
