call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text
en_CA_Agriculture_1586885,1,agent,channel1,1,0.0,14.44,Good afternoon.
en_CA_Agriculture_1586885,2,customer,channel2,1,0.0,24.44,"Hi, Sarah."
en_CA_Agriculture_1586885,3,agent,channel1,2,14.44,17.88,You've reached the National Agriculture Support Hotline.
en_CA_Agriculture_1586885,4,agent,channel1,3,17.88,19.76,This is Sarah speaking.
en_CA_Agriculture_1586885,5,agent,channel1,4,19.76,40.84,How can I assist you today?
en_CA_Agriculture_1586885,6,customer,channel2,2,24.44,27.2,My name is David Thompson.
en_CA_Agriculture_1586885,7,customer,channel2,3,27.2,33.76,"I run a small farm near Trois-Rivières, and I wanted to ask about the new organic certification"
en_CA_Agriculture_1586885,8,customer,channel2,4,33.76,36.28,programs for crops.
en_CA_Agriculture_1586885,9,customer,channel2,5,36.28,39.4,I heard there were some updates this year.
en_CA_Agriculture_1586885,10,agent,channel1,5,40.84,41.84,Hi David.
en_CA_Agriculture_1586885,11,agent,channel1,6,41.84,44.2,"Yeah, that's right."
en_CA_Agriculture_1586885,12,agent,channel1,7,44.2,49.72,"The organic certification assistance program, it's been expanded for this year."
en_CA_Agriculture_1586885,13,agent,channel1,8,49.72,54.16,To make it easier for farmers to transition.
en_CA_Agriculture_1586885,14,agent,channel1,9,54.16,63.4,Are you already farming organic or are you planning to make the switch?
en_CA_Agriculture_1586885,15,customer,channel2,6,57.2,65.92,"I'm planning to transition, because the price of fertilizers has really gone up, and I'm"
en_CA_Agriculture_1586885,16,agent,channel1,10,63.4,78.72,"Oh, that's great."
en_CA_Agriculture_1586885,17,customer,channel2,7,65.92,75.88,"looking into some sustainable options, things like composting or cover crops instead of chemicals."
en_CA_Agriculture_1586885,18,agent,channel1,11,78.72,79.72,You're not alone.
en_CA_Agriculture_1586885,19,agent,channel1,12,79.72,86.04,"There's a lot of farmers that are going towards sustainable practices, so this program, it can"
en_CA_Agriculture_1586885,20,agent,channel1,13,86.04,91.88,really help them because it reimburses part of your certification and inspection fees
en_CA_Agriculture_1586885,21,customer,channel2,8,87.2,100.64,"Oh, nice, that sounds good."
en_CA_Agriculture_1586885,22,agent,channel1,14,91.88,105.8,and there's grants to support environmentally friendly methods.
en_CA_Agriculture_1586885,23,customer,channel2,9,100.64,103.6,How do I know if I qualify for that?
en_CA_Agriculture_1586885,24,agent,channel1,15,105.8,110.0,"So to qualify, your farm has to be in Canada."
en_CA_Agriculture_1586885,25,agent,channel1,16,110.0,115.84,It has to have active production and sales in agriculture and it also has to be working
en_CA_Agriculture_1586885,26,agent,channel1,17,115.84,120.4,towards being certified under the Canadian organic regime.
en_CA_Agriculture_1586885,27,customer,channel2,10,117.2,134.44,"Oh, yes, I've been farming vegetables and wheat for about six years now, and I've started cutting"
en_CA_Agriculture_1586885,28,agent,channel1,18,121.4,128.12,So do you have at least one full season of production records?
en_CA_Agriculture_1586885,29,agent,channel1,19,128.12,139.72,"Okay, that's great."
en_CA_Agriculture_1586885,30,customer,channel2,11,134.44,145.52,back on synthetic fertilizers.
en_CA_Agriculture_1586885,31,agent,channel1,20,139.72,145.68,"You're already halfway there, so there's something called the agricultural funding"
en_CA_Agriculture_1586885,32,customer,channel2,12,145.52,160.48,"Okay, okay."
en_CA_Agriculture_1586885,33,agent,channel1,21,145.68,148.16,portal and it's online.
en_CA_Agriculture_1586885,34,agent,channel1,22,148.16,150.92,So you can start your application there.
en_CA_Agriculture_1586885,35,agent,channel1,23,150.92,165.2,So you have to create an account and then fill in a form and then upload some documents.
en_CA_Agriculture_1586885,36,customer,channel2,13,160.48,163.72,And what kind of documents do they usually ask for?
en_CA_Agriculture_1586885,37,agent,channel1,24,165.2,167.88,"So the documents, it includes four things."
en_CA_Agriculture_1586885,38,agent,channel1,25,167.88,174.08,"They want proof of land ownership or lease, your production and sales records from your"
en_CA_Agriculture_1586885,39,agent,channel1,26,174.08,183.04,"last farming season, a current soil test report and then a brief plan or describing"
en_CA_Agriculture_1586885,40,agent,channel1,27,183.04,188.36,how you're going to shift your practice into organic farming.
en_CA_Agriculture_1586885,41,agent,channel1,28,188.36,197.2,"So all of those, you can scan them and then upload them into the online portal."
en_CA_Agriculture_1586885,42,customer,channel2,14,191.48,196.48,Got it.
en_CA_Agriculture_1586885,43,customer,channel2,15,196.48,201.48,Is there a deadline for applying?
en_CA_Agriculture_1586885,44,agent,channel1,29,197.2,207.96,"Yes, the deadline for the 2025 growing season is March 15th, but it's best to apply by"
en_CA_Agriculture_1586885,45,customer,channel2,16,201.48,223.72,"Nice, that's clear."
en_CA_Agriculture_1586885,46,agent,channel1,30,207.96,213.84,February 28th then it'll give you enough time for processing and then you'll get a
en_CA_Agriculture_1586885,47,agent,channel1,31,213.84,222.12,confirmation email within 24 hours of submitting your documents.
en_CA_Agriculture_1586885,48,agent,channel1,32,222.12,236.36,"Yes, there is, there's a program for that."
en_CA_Agriculture_1586885,49,customer,channel2,17,223.72,228.12,Are there any other programs that could help with equipment?
en_CA_Agriculture_1586885,50,customer,channel2,18,228.12,256.6,I'm thinking about getting a compost spreader and a soil sensor system.
en_CA_Agriculture_1586885,51,agent,channel1,33,236.36,243.68,It's called the Farm Equipment Modernization Program and it offers low-interest loans and
en_CA_Agriculture_1586885,52,agent,channel1,34,243.68,250.72,"right now they're around 2.5%, so it's for getting eco-friendly and energy efficient"
en_CA_Agriculture_1586885,53,agent,channel1,35,250.72,258.44,"equipment like composters, irrigation systems and solar power tools."
en_CA_Agriculture_1586885,54,customer,channel2,19,256.6,259.84,"Nice, that's good to know."
en_CA_Agriculture_1586885,55,agent,channel1,36,258.44,266.24,"Yeah, exactly."
en_CA_Agriculture_1586885,56,customer,channel2,20,259.84,281.6,Can I apply for that on the same website?
en_CA_Agriculture_1586885,57,agent,channel1,37,266.24,272.12,"Once you get into the Agricultural Funding Portal, you'll see Equipment Assistance as"
en_CA_Agriculture_1586885,58,agent,channel1,38,272.12,278.48,"an option there, so you just have to put a quote or cost estimate for the equipment"
en_CA_Agriculture_1586885,59,agent,channel1,39,278.48,281.96,that you plan to buy.
en_CA_Agriculture_1586885,60,customer,channel2,21,281.6,284.08,"Nice, good."
en_CA_Agriculture_1586885,61,agent,channel1,40,281.96,294.08,"Oh, there's no problem at all."
en_CA_Agriculture_1586885,62,customer,channel2,22,284.08,290.08,"So what if I prefer to do the application in person, because I'm not too comfortable with"
en_CA_Agriculture_1586885,63,customer,channel2,23,290.08,291.56,computers.
