call_id,turn_id,speaker,channel,segment_id,start_time,end_time,text,sentiment_label,sentiment_score,frustration_flag,empathy_flag,probing_flag,ownership_flag,next_steps_flag,segment_duration_sec,rms_energy,peak_amplitude,rms_db,zero_crossing_rate,spectral_centroid,pitch_mean_hz,pitch_std_hz,speaking_rate_wps,volume_level,speaking_rate_level,pitch_level,frustration_flag_bool,empathy_flag_bool,probing_flag_bool,ownership_flag_bool,next_steps_flag_bool,normalized_sentiment,vocal_intensity_level,turn_risk_score,turn_main_signal,turn_risk_level,turn_reason_codes,evidence_id,signal_coverage_confidence,analytical_contract_version,risk_rubric_version,risk_score_type,risk_score_calibrated,asr_model_id,sentiment_model_id
en_AU_Finance_1592672,1,agent,channel1,1,0.0,19.16,"Good morning, you've reached Commonwealth Financial Service, this is Danielle speaking,",positive,0.5199,False,False,False,False,False,19.16,0.054456,0.999969,-25.279,0.05868,1085.183,236.662,141.173,0.574,low,low,high,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Finance_1592672:turn:1,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Finance_1592672,2,customer,channel2,1,0.0,29.16,I'm actually calling because I'm interested in applying for an investment loan.,positive,0.5377,False,False,False,False,False,29.16,0.030528,0.458282,-30.306,0.06987,1650.144,274.404,132.185,0.412,low,low,high,False,False,False,False,False,positive,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Finance_1592672:turn:2,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Finance_1592672,3,agent,channel1,2,19.16,26.16,how may I help you today?,neutral,0.6737,False,False,True,False,False,7.0,0.024312,0.310883,-32.283,0.03247,937.306,287.237,138.474,0.857,low,low,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Finance_1592672:turn:3,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Finance_1592672,4,agent,channel1,3,26.16,40.52,"Yes, okay, good morning Maria, I'd be able to help you with that of course, so investment",positive,0.9219,False,False,False,False,False,14.36,0.043076,0.511383,-27.315,0.050257,985.912,281.0,129.661,1.184,low,low,high,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Finance_1592672:turn:4,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Finance_1592672,5,customer,channel2,2,29.16,50.52,I've been looking to expand my portfolio but I'm a bit short on liquid funds at the moment.,neutral,0.7696,False,False,False,False,False,21.36,0.037719,0.523743,-28.469,0.094887,1877.52,263.854,132.665,0.843,low,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Finance_1592672:turn:5,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Finance_1592672,6,agent,channel1,4,40.52,45.48,"loans are quite popular with our clients looking to grow their portfolios, so just to confirm",positive,0.9063,False,False,False,False,False,4.96,0.069113,0.599426,-23.209,0.107688,1212.255,204.69,75.139,3.226,medium,high,medium,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Finance_1592672:turn:6,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Finance_1592672,7,agent,channel1,5,45.48,52.48,are you looking to invest in residential property shares or managed funds?,neutral,0.9293,False,False,True,False,False,7.0,0.044637,0.459686,-27.006,0.084056,1154.571,243.886,123.655,1.714,low,low,high,False,False,True,False,False,neutral,medium,0,agent probing question detected,low,AGENT_PROBING,en_AU_Finance_1592672:turn:7,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Finance_1592672,8,customer,channel2,3,50.52,52.92,Primarily shares actually.,neutral,0.8918,False,False,False,False,False,2.4,0.063172,0.453857,-23.99,0.172485,2117.354,242.405,115.822,1.25,medium,low,high,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Finance_1592672:turn:8,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Finance_1592672,9,agent,channel1,6,52.48,75.4,"Oh look, it's so great that you're looking at diversifying, yeah absolutely, so those",positive,0.9868,False,False,False,False,False,22.92,0.050677,0.668365,-25.904,0.029952,876.165,304.536,128.625,0.611,low,low,high,False,False,False,False,False,positive,medium,0,no strong signal,low,NO_STRONG_SIGNAL,en_AU_Finance_1592672:turn:9,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Finance_1592672,10,customer,channel2,4,52.92,58.8,I do already have a few properties in Melbourne and Sydney but I do think that there's some,neutral,0.8408,False,False,False,False,False,5.88,0.073432,0.640564,-22.682,0.126648,1639.605,208.972,65.462,3.061,medium,high,medium,False,False,False,False,False,neutral,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Finance_1592672:turn:10,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Finance_1592672,11,customer,channel2,5,58.8,61.92,good opportunities in the market right now.,positive,0.9619,False,False,False,False,False,3.12,0.058654,0.38559,-24.634,0.124028,1572.563,203.493,62.899,2.244,medium,medium,medium,False,False,False,False,False,positive,medium,5,medium customer vocal intensity,low,CUST_MEDIUM_VOCAL_INTENSITY,en_AU_Finance_1592672:turn:11,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
en_AU_Finance_1592672,12,customer,channel2,6,61.92,62.92,You know what I mean?,neutral,0.8266,False,False,False,False,False,1.0,0.103652,0.469757,-19.688,0.112442,1829.138,248.334,50.559,5.0,high,high,high,False,False,False,False,False,neutral,high,15,high customer vocal intensity,low,CUST_HIGH_VOCAL_INTENSITY,en_AU_Finance_1592672:turn:12,1.0,1.0.0,conversation_risk_v1,heuristic_proxy,False,faster-whisper/small,cardiffnlp/twitter-roberta-base-sentiment-latest
